toi,toipfx,tfopwg_disp,pl_orbper,pl_rade,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
1207.01,1207,PC,2.6282553,0.9817044,955.7979966,9.2397,113.758,6282.0,4.37809,1.10743
1208.01,1208,PC,3.4239436,1.7581475,294.3078003,10.5924,134.757,5626.0,4.56195,0.823019
1208.02,1208,PC,10.983042,2.5070075,62.2119369,10.5924,134.757,5626.0,4.56195,0.823019
1208.03,1208,PC,17.726449,2.261664,32.8605569,10.5924,134.757,5626.0,4.56195,0.823019
1209.01,1209,PC,40.7199388,3.2352713,47.143655,9.597,173.833,5914.0,3.98,1.55953
121.01,121,APC,14.7741056,15.3936,123.522,9.9358,182.169,6053.0,4.3135,1.23
1210.01,1210,FP,79.3739596,2.17454,3.05331,11.1762,144.133,5168.33,4.60584,0.77
1211.01,1211,PC,18.1663644,2.80447,16.6472,9.8135,133.335,5572.9,3.83,1.14
1212.01,1212,PC,105.5850893,2.5033335,8.047858,10.4016,190.986,5909.57,4.26154,1.1142
1213.01,1213,FP,27.2149622,8.3475973,25.4860381,10.6392,161.33,6270.0,4.54537,0.989667
1214.01,1214,PC,19.1807264,2.4311768,32.9407734,10.0329,107.048,5262.4,3.98,0.937973
1215.01,1215,PC,1.2124493,0.879419,336.2098533,10.42,34.6633,3751.0,4.75718,0.518
1216.01,1216,PC,4.5541831,0.8887417,54.8401357,11.546,99.5413,4280.0,4.61209,0.635812
1217.01,1217,PC,41.4856125,12.5121956,271.196017,9.6517,463.223,6354.0,4.24472,3.4868701
1218.01,1218,PC,13.7738265,1.8971927,67.2831271,10.3869,135.689,5455.96,4.46737,1.01825
1219.01,1219,PC,1.9142544,2.04421,6105.33,10.1207,301.291,6734.0,4.18582,1.59
122.01,122,CP,5.0780325,2.6347763,8.1743139,13.084,62.118,3318.0,4.9581,0.334125
1220.01,1220,APC,70.3607265,8.2807306,52.1124723,9.5298,273.698,6308.0,3.98679,2.0982201
1221.01,1221,CP,91.6827832,3.239855,5.9944903,10.0564,138.411,5802.0,4.44521,1.01814
1222.01,1222,PC,10.1944993,2.7392825,231.1087411,10.3014,226.932,6082.0,4.33287,1.32661
1223.01,1223,FP,14.64319,3.41248,391.2017546,9.3109,237.7,6516.0,3.99366,2.04178
1224.01,1224,PC,4.1782656,2.1023854,13.9295288,11.556,37.3312,3442.0,4.893,0.404403
1224.02,1224,PC,17.9453645,3.3839124,1.9952383,11.556,37.3312,3442.0,4.893,0.404403
1225.01,1225,PC,13.896396,2.4586343,52.3837065,11.7582,252.615,5522.87,4.67156,0.888163
1225.02,1225,PC,8.1213102,2.3157186,107.208941,11.7582,252.615,5522.87,4.67156,0.888163
1226.01,1226,PC,3.9287851,2.329279,376.4612937,11.5514,257.93,5668.15,4.52573,0.986943
1227.01,1227,CP,27.3613778,6.4522449,0.8345555,13.802,100.641,3050.0,4.438,0.44128
1228.01,1228,CP,29.0497517,2.84674,257.066,9.0963,272.217,8208.0,4.25979,1.8
1229.01,1229,APC,31.8132264,21.6314984,48.4375724,10.779,254.584,6028.84,3.96199,1.98893
123.01,123,CP,3.3088922,24.9862,17074.7,7.87598,161.498,6188.0,4.27166,2.62
1230.01,1230,CP,25.0571312,3.2396838,53.1389289,9.6245,143.138,5696.0,4.26563,1.15281
1231.01,1231,CP,24.2454967,3.878568,0.05273,10.2565,27.6227,3535.0,4.84874,0.465271
1232.01,1232,PC,14.2545623,10.7048234,90.0658585,11.7835,328.604,5739.0,4.28235,1.09597
1233.01,1233,CP,14.1758947,2.6231641,53.8795095,8.6522,64.5978,5723.87,4.438,0.864173
1233.02,1233,CP,19.5901578,3.0026428,35.0031418,8.6522,64.5978,5723.87,4.438,0.864173
1233.03,1233,CP,6.2036219,2.056748,162.1675094,8.6522,64.5978,5723.87,4.438,0.864173
1233.04,1233,CP,3.79589,1.553135,312.1807495,8.6522,64.5978,5723.87,4.438,0.864173
1234.01,1234,FP,2.2645386,5.1936764,34.1873897,13.7991,104.912,3443.0,4.81617,0.411471
1235.01,1235,CP,3.4447015,2.00495,231.437,9.91924,39.6345,3912.0,4.62642,0.63
1236.01,1236,KP,3.0300715,12.7529892,318.4581858,11.0248,159.658,5242.82,4.52404,0.857369
1237.01,1237,KP,12.72038,4.96046,41.1042,10.2768,243.249,6212.0,4.17664,1.48
1237.02,1237,KP,6.238755,2.9728283,587.1290759,10.2768,243.249,6212.0,4.17664,1.47768
1238.01,1238,PC,3.2947591,2.36106,44.5658,11.2582,70.7145,3853.0,4.63168,0.62
1238.02,1238,PC,0.7645787,1.33541,398.218,11.2582,70.7145,3853.0,4.63168,0.62
1239.01,1239,CP,12.6396982,4.6025162,39.6563977,10.7192,126.903,5217.0,4.59186,0.789425
124.01,124,APC,1.8428078,21.2705,1687.83,11.1311,809.252,5080.0,4.48159,4.09
1240.01,1240,KP,1.7208555,13.4646314,2259.3896676,13.8046,1086.24,5832.83,4.20893,1.33402
